Historical Gross Domestic Product Per Capita for Baseline Countries/Regions (in 2010 dollars) 1980-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Information important for using this table: Because of the use of fixed exchange rates, the base year can make a significant difference in the relative ranking of countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Calculated from real GDP and population in the ERS International Macroeconomic Data Sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Lorraine Mitchell (202-694-5234, lmitchel@ers.usda.gov).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Per Capita GDP in 2010 U.S. dollars and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1932.61,1904.60,2112.87,2190.01,2246.74,2109.95,2257.70,2266.75,2265.90,2341.80,2278.02,1910.68,1354.12,1338.34,926.66,917.23,867.53,887.88,837.22,816.93,843.06,904.25,985.79,1063.32,1155.26,1256.48,1332.72,1388.95,1514.44,1439.08,1557.32,1680.18,1685.43,1862.66,1972.03,1984.32,2095.09,2212.29,,-1.45,10.94,3.65,2.59,-6.09,7.00,0.40,-0.04,3.35,-2.72,-16.13,-29.13,-1.17,-30.76,-1.02,-5.42,2.35,-5.71,-2.42,3.20,7.26,9.02,7.86,8.65,8.76,6.07,4.22,9.04,-4.98,8.22,7.89,0.31,10.52,5.87,0.62,5.58,5.59,5.00,,,,,,,,,,,,,,,,,,
Tajikistan,1591.01,1581.01,1569.99,1557.81,1544.20,1364.94,1368.76,1310.88,1451.00,1319.12,1280.36,1159.79,809.55,671.10,522.70,451.94,370.84,370.69,382.59,388.48,412.69,446.94,486.54,530.54,574.63,601.76,631.90,668.43,707.71,720.88,753.55,794.49,838.56,884.48,927.15,965.93,1015.35,1069.77,,-0.63,-0.70,-0.78,-0.87,-11.61,0.28,-4.23,10.69,-9.09,-2.94,-9.42,-30.20,-17.10,-22.11,-13.54,-17.94,-0.04,3.21,1.54,6.23,8.30,8.86,9.04,8.31,4.72,5.01,5.78,5.88,1.86,4.53,5.43,5.55,5.48,4.82,4.18,5.12,5.36,4.46,,,,,,,,,,,,,,,,,,
Turkmenistan,2046.15,2058.22,2071.43,2085.07,2099.85,2114.11,2124.94,2787.01,3022.05,2828.55,3739.24,3484.40,2897.17,2874.78,2326.42,2119.31,2226.40,1945.38,2053.37,2357.64,2452.11,2524.61,2498.48,2549.84,2646.94,2956.39,3242.13,3559.42,4036.08,4233.58,4570.64,5183.17,5693.19,6202.47,6763.41,7121.13,7477.04,7873.82,,0.59,0.64,0.66,0.71,0.68,0.51,31.16,8.43,-6.40,32.20,-6.82,-16.85,-0.77,-19.07,-8.90,5.05,-12.62,5.55,14.82,4.01,2.96,-1.04,2.06,3.81,11.69,9.67,9.79,13.39,4.89,7.96,13.40,9.84,8.95,9.04,5.29,5.00,5.31,4.37,,,,,,,,,,,,,,,,,,
Uzbekistan,804.18,800.24,795.73,791.24,786.52,781.15,775.71,925.09,988.76,998.54,989.96,960.36,831.06,792.94,735.87,714.60,712.64,736.29,755.64,776.68,795.24,817.84,839.83,865.14,921.97,976.41,1037.11,1128.69,1218.31,1304.55,1402.24,1504.43,1612.57,1725.33,1842.54,1971.53,2105.57,2196.65,,-0.49,-0.56,-0.56,-0.60,-0.68,-0.70,19.26,6.88,0.99,-0.86,-2.99,-13.46,-4.59,-7.20,-2.89,-0.27,3.32,2.63,2.78,2.39,2.84,2.69,3.01,6.57,5.90,6.22,8.83,7.94,7.08,7.49,7.29,7.19,6.99,6.79,7.00,6.80,4.33,3.81,,,,,,,,,,,,,,,,,,
AsiaandOceania,2039.95,2095.42,2138.21,2188.81,2271.72,2353.68,2417.91,2507.20,2646.29,2732.11,2822.69,2895.81,2952.71,3001.51,3086.94,3200.98,3319.94,3389.37,3357.21,3427.28,3548.12,3604.50,3692.22,3815.64,3976.01,4145.70,4340.94,4584.61,4700.27,4747.81,5044.03,5236.00,5434.98,5649.08,5847.62,6059.93,6273.38,6517.84,,2.72,2.04,2.37,3.79,3.61,2.73,3.69,5.55,3.24,3.32,2.59,1.96,1.65,2.85,3.69,3.72,2.09,-0.95,2.09,3.53,1.59,2.43,3.34,4.20,4.27,4.71,5.61,2.52,1.01,6.24,3.81,3.80,3.94,3.51,3.63,3.52,3.90,3.77,,,,,,,,,,,,,,,,,,
Asia,1836.86,1889.44,1930.10,1988.34,2065.84,2141.94,2201.90,2292.57,2425.12,2507.77,2595.68,2674.53,2734.09,2776.29,2855.96,2965.08,3078.82,3142.58,3102.64,3162.88,3277.74,3331.98,3411.82,3530.15,3683.16,3847.55,4038.83,4275.39,4385.24,4430.02,4725.30,4913.65,5104.33,5314.22,5507.40,5715.09,5922.64,6164.48,,2.86,2.15,3.02,3.90,3.68,2.80,4.12,5.78,3.41,3.51,3.04,2.23,1.54,2.87,3.82,3.84,2.07,-1.27,1.94,3.63,1.65,2.40,3.47,4.33,4.46,4.97,5.86,2.57,1.02,6.67,3.99,3.88,4.11,3.64,3.77,3.63,4.08,3.90,,,,,,,,,,,,,,,,,,
AsiaLessJapan,618.70,643.84,666.32,704.44,748.19,779.55,819.93,872.64,936.96,974.81,1015.16,1066.96,1140.98,1219.47,1311.02,1403.75,1494.27,1565.11,1564.23,1651.45,1745.18,1813.82,1912.89,2028.30,2167.51,2327.22,2518.28,2751.67,2899.12,3048.53,3302.72,3511.43,3697.91,3895.68,4102.56,4311.04,4523.21,4757.17,,4.06,3.49,5.72,6.21,4.19,5.18,6.43,7.37,4.04,4.14,5.10,6.94,6.88,7.51,7.07,6.45,4.74,-0.06,5.58,5.68,3.93,5.46,6.03,6.86,7.37,8.21,9.27,5.36,5.15,8.34,6.32,5.31,5.35,5.31,5.08,4.92,5.17,5.09,,,,,,,,,,,,,,,,,,
EastAsia,3111.11,3213.25,3295.55,3403.25,3562.99,3732.63,3851.46,4029.46,4271.82,4417.48,4575.05,4735.81,4840.69,4910.77,5050.94,5245.78,5454.24,5593.66,5586.57,5701.67,5945.13,6073.65,6246.48,6477.28,6774.83,7089.86,7461.44,7922.59,8155.73,8219.72,8795.88,9177.73,9558.65,9986.69,10363.33,10759.13,11160.25,11639.53,,3.28,2.56,3.27,4.69,4.76,3.18,4.62,6.01,3.41,3.57,3.51,2.21,1.45,2.85,3.86,3.97,2.56,-0.13,2.06,4.27,2.16,2.85,3.69,4.59,4.65,5.24,6.18,2.94,0.78,7.01,4.34,4.15,4.48,3.77,3.82,3.73,4.29,3.96,,,,,,,,,,,,,,,,,,
EastAsiaLessJapan,579.22,607.51,644.43,702.77,783.15,850.07,919.99,1013.60,1104.52,1143.73,1188.58,1281.27,1405.56,1541.94,1695.50,1840.54,1982.40,2122.78,2187.66,2348.17,2528.86,2674.25,2877.52,3087.22,3340.80,3635.51,4001.01,4454.14,4772.42,5081.33,5559.05,5990.17,6357.75,6754.53,7163.44,7558.95,7970.24,8430.49,,4.88,6.08,9.05,11.44,8.55,8.22,10.18,8.97,3.55,3.92,7.80,9.70,9.70,9.96,8.55,7.71,7.08,3.06,7.34,7.69,5.75,7.60,7.29,8.21,8.82,10.05,11.33,7.15,6.47,9.40,7.76,6.14,6.24,6.05,5.52,5.44,5.77,5.52,,,,,,,,,,,,,,,,,,
China,345.57,358.94,384.98,420.07,476.94,533.20,571.88,627.44,685.86,703.21,719.38,776.05,875.94,986.38,1103.10,1211.28,1319.11,1429.01,1529.47,1635.65,1763.85,1900.36,2062.93,2258.33,2473.92,2741.24,3073.14,3491.57,3808.43,4145.27,4564.04,4975.96,5342.17,5730.58,6121.41,6514.42,6920.23,7366.83,,3.87,7.26,9.11,13.54,11.80,7.25,9.72,9.31,2.53,2.30,7.88,12.87,12.61,11.83,9.81,8.90,8.33,7.03,6.94,7.84,7.74,8.55,9.47,9.55,10.81,12.11,13.62,9.08,8.84,10.10,9.03,7.36,7.27,6.82,6.42,6.23,6.45,6.19,,,,,,,,,,,,,,,,,,
HongKong,10727.33,11448.75,11604.89,12113.06,13190.88,13148.74,14421.69,16178.53,17418.67,17713.61,18304.05,19132.34,20057.58,20927.84,21707.52,21659.99,21995.94,22746.66,21249.36,21600.79,23047.56,22972.85,23196.84,23777.10,25652.85,27323.77,29031.10,30693.70,31201.24,30423.82,32526.94,34088.18,34569.69,35480.01,36304.43,37023.40,37685.41,38983.12,,6.73,1.36,4.38,8.90,-0.32,9.68,12.18,7.67,1.69,3.33,4.53,4.84,4.34,3.73,-0.22,1.55,3.41,-6.58,1.65,6.70,-0.32,0.98,2.50,7.89,6.51,6.25,5.73,1.65,-2.49,6.91,4.80,1.41,2.63,2.32,1.98,1.79,3.44,3.31,,,,,,,,,,,,,,,,,,
Japan,25848.44,26743.98,27441.66,28214.33,29296.68,30646.16,31473.37,32800.44,34876.94,36424.37,38073.55,39239.68,39440.05,39122.72,39413.79,40403.93,41560.40,41904.91,41329.64,41135.49,42191.28,42251.74,42214.32,42798.68,43693.78,44412.75,45039.11,45765.70,45262.16,42838.54,44678.00,44664.80,45368.70,46318.02,46546.33,47244.78,47769.90,48684.35,,3.46,2.61,2.82,3.84,4.61,2.70,4.22,6.33,4.44,4.53,3.06,0.51,-0.80,0.74,2.51,2.86,0.83,-1.37,-0.47,2.57,0.14,-0.09,1.38,2.09,1.65,1.41,1.61,-1.10,-5.35,4.29,-0.03,1.58,2.09,0.49,1.50,1.11,1.91,1.30,,,,,,,,,,,,,,,,,,
Korea,3699.83,3904.15,4162.02,4644.19,5066.21,5405.32,5952.50,6628.99,7345.96,7784.94,8464.99,9239.95,9699.29,10253.46,11094.28,12051.99,12863.79,13524.52,12689.35,14022.89,15158.53,15730.35,16807.92,17221.59,17992.44,18644.24,19538.01,20482.23,20931.89,20973.86,22219.65,22897.84,23298.47,23858.47,24517.46,25052.39,25644.93,26297.59,,5.52,6.60,11.59,9.09,6.69,10.12,11.36,10.82,5.98,8.74,9.15,4.97,5.71,8.20,8.63,6.74,5.14,-6.18,10.51,8.10,3.77,6.85,2.46,4.48,3.62,4.79,4.83,2.20,0.20,5.94,3.05,1.75,2.40,2.76,2.18,2.37,2.54,2.22,,,,,,,,,,,,,,,,,,
Taiwan,3965.99,4171.06,4294.73,4607.76,4996.45,5167.99,5699.03,6357.07,6791.87,7301.56,7687.20,8242.93,8842.08,9353.42,9955.25,10504.15,11066.35,11644.38,12025.73,12732.75,13442.24,13179.69,13839.14,14345.75,15222.34,15990.10,16822.34,17847.11,17911.33,17570.45,19386.51,20081.79,20441.95,20833.59,21615.24,21738.96,21998.82,22592.57,,5.17,2.96,7.29,8.44,3.43,10.28,11.55,6.84,7.50,5.28,7.23,7.27,5.78,6.43,5.51,5.35,5.22,3.27,5.88,5.57,-1.95,5.00,3.66,6.11,5.04,5.20,6.09,0.36,-1.90,10.34,3.59,1.79,1.92,3.75,0.57,1.20,2.70,2.28,,,,,,,,,,,,,,,,,,
OtherEastAsia,2958.49,3095.91,3411.51,3597.51,3765.18,3775.34,3976.06,4266.60,4450.21,4492.42,4549.96,4416.67,4596.82,4658.06,4761.81,4877.01,4812.34,4784.98,4608.99,4513.17,4659.31,4743.29,5052.58,5514.52,6665.11,7079.25,7799.29,8684.54,8930.05,8848.55,10537.12,12545.20,13588.24,14918.23,14819.30,12237.64,12055.67,12900.23,,4.65,10.19,5.45,4.66,0.27,5.32,7.31,4.30,0.95,1.28,-2.93,4.08,1.33,2.23,2.42,-1.33,-0.57,-3.68,-2.08,3.24,1.80,6.52,9.14,20.86,6.21,10.17,11.35,2.83,-0.91,19.08,19.06,8.31,9.79,-0.66,-17.42,-1.49,7.01,5.29,,,,,,,,,,,,,,,,,,
Macau,13095.63,13627.24,15259.41,15927.66,16493.29,16241.42,16975.84,18754.33,19662.18,20099.42,21054.00,21098.66,23174.27,23800.48,24273.68,24551.60,23906.71,23463.17,22144.95,21311.08,22328.88,22813.25,24616.60,27163.50,33595.46,34863.29,37495.98,40781.70,40609.16,40104.04,49518.44,59719.85,64669.49,71298.56,69853.77,54324.09,53432.07,57852.29,,4.06,11.98,4.38,3.55,-1.53,4.52,10.48,4.84,2.22,4.75,0.21,9.84,2.70,1.99,1.14,-2.63,-1.86,-5.62,-3.77,4.78,2.17,7.90,10.35,23.68,3.77,7.55,8.76,-0.42,-1.24,23.47,20.60,8.29,10.25,-2.03,-22.23,-1.64,8.27,6.21,,,,,,,,,,,,,,,,,,
Mongolia,1392.09,1473.99,1560.70,1613.84,1670.05,1724.70,1843.20,1863.50,1914.29,1919.53,1813.34,1618.92,1442.06,1376.38,1387.33,1453.81,1464.53,1501.50,1531.87,1559.40,1559.26,1587.03,1642.70,1738.47,1902.58,2018.42,2165.88,2357.89,2533.35,2465.61,2582.98,2983.01,3300.22,3631.23,3863.17,3902.62,3901.06,4080.93,,5.88,5.88,3.40,3.48,3.27,6.87,1.10,2.73,0.27,-5.53,-10.72,-10.92,-4.55,0.80,4.79,0.74,2.52,2.02,1.80,-0.01,1.78,3.51,5.83,9.44,6.09,7.31,8.87,7.44,-2.67,4.76,15.49,10.63,10.03,6.39,1.02,-0.04,4.61,3.71,,,,,,,,,,,,,,,,,,
SoutheastAsia,1253.46,1295.64,1316.48,1343.17,1368.88,1350.28,1378.63,1429.96,1510.86,1604.61,1693.47,1768.04,1848.79,1945.76,2055.84,2179.30,2300.25,2353.82,2135.36,2173.02,2266.32,2295.42,2375.45,2472.66,2594.36,2705.62,2830.58,2979.75,3072.42,3096.71,3300.54,3422.61,3585.90,3727.24,3855.59,3989.32,4130.82,4300.22,,3.36,1.61,2.03,1.91,-1.36,2.10,3.72,5.66,6.20,5.54,4.40,4.57,5.25,5.66,6.01,5.55,2.33,-9.28,1.76,4.29,1.28,3.49,4.09,4.92,4.29,4.62,5.27,3.11,0.79,6.58,3.70,4.77,3.94,3.44,3.47,3.55,4.10,4.05,,,,,,,,,,,,,,,,,,
Cambodia,378.01,386.38,393.74,400.77,412.22,424.68,431.77,437.21,472.03,471.06,459.78,477.39,488.94,478.62,302.07,324.30,335.94,342.33,351.67,389.50,424.36,449.11,471.53,504.05,548.15,612.03,667.84,724.24,759.51,746.83,777.82,818.76,863.89,912.02,961.18,1012.41,1065.94,1121.21,,2.21,1.90,1.78,2.86,3.02,1.67,1.26,7.96,-0.20,-2.39,3.83,2.42,-2.11,-36.89,7.36,3.59,1.90,2.73,10.76,8.95,5.83,4.99,6.90,8.75,11.65,9.12,8.45,4.87,-1.67,4.15,5.26,5.51,5.57,5.39,5.33,5.29,5.18,5.37,,,,,,,,,,,,,,,,,,
Indonesia,1207.66,1276.70,1279.08,1306.33,1370.38,1377.66,1431.98,1475.69,1533.36,1618.81,1706.07,1792.88,1877.21,1966.04,2079.24,2212.56,2345.41,2416.29,2066.59,2050.58,2117.86,2163.63,2229.38,2303.82,2387.07,2491.68,2595.30,2725.93,2855.37,2953.09,3101.99,3258.01,3418.62,3572.47,3715.10,3859.97,4017.81,4184.73,,5.72,0.19,2.13,4.90,0.53,3.94,3.05,3.91,5.57,5.39,5.09,4.70,4.73,5.76,6.41,6.00,3.02,-14.47,-0.78,3.28,2.16,3.04,3.34,3.61,4.38,4.16,5.03,4.75,3.42,5.04,5.03,4.93,4.50,3.99,3.90,4.09,4.15,4.26,,,,,,,,,,,,,,,,,,
Malaysia,3400.59,3527.85,3624.39,3735.01,3906.99,3755.44,3692.99,3775.13,4034.41,4294.93,4574.43,4876.41,5172.92,5544.76,5903.88,6323.49,6783.36,7092.89,6400.45,6619.74,7020.07,6882.19,7090.34,7320.55,7634.54,7889.06,8183.42,8549.00,8810.66,8533.78,9019.27,9346.71,9705.81,10007.58,10451.74,10818.79,11116.45,11610.44,,3.74,2.74,3.05,4.60,-3.88,-1.66,2.22,6.87,6.46,6.51,6.60,6.08,7.19,6.48,7.11,7.27,4.56,-9.76,3.43,6.05,-1.96,3.02,3.25,4.29,3.33,3.73,4.47,3.06,-3.14,5.69,3.63,3.84,3.11,4.44,3.51,2.75,4.44,3.85,,,,,,,,,,,,,,,,,,
Myanmar,177.02,184.69,191.32,195.86,201.52,203.28,197.32,185.88,161.96,165.24,167.06,163.30,176.71,184.71,195.06,205.02,214.79,223.61,233.40,255.43,286.73,315.42,349.43,393.49,442.20,497.02,556.50,617.18,675.61,741.03,806.15,842.37,894.36,960.19,1027.09,1087.99,1140.76,1202.25,,4.34,3.59,2.37,2.89,0.87,-2.93,-5.80,-12.87,2.03,1.10,-2.25,8.21,4.53,5.60,5.11,4.77,4.11,4.38,9.44,12.25,10.01,10.78,12.61,12.38,12.40,11.97,10.90,9.47,9.68,8.79,4.49,6.17,7.36,6.97,5.93,4.85,5.39,5.84,,,,,,,,,,,,,,,,,,
Philippines,1656.11,1671.35,1689.58,1680.35,1519.92,1373.98,1385.80,1411.14,1472.15,1527.69,1537.39,1494.85,1469.43,1469.93,1501.81,1536.60,1588.72,1633.81,1589.96,1604.57,1639.58,1649.73,1673.65,1720.98,1798.33,1846.34,1905.21,1992.33,2036.57,2024.73,2142.99,2185.25,2294.67,2417.29,2524.09,2634.26,2770.78,2909.72,,0.92,1.09,-0.55,-9.55,-9.60,0.86,1.83,4.32,3.77,0.63,-2.77,-1.70,0.03,2.17,2.32,3.39,2.84,-2.68,0.92,2.18,0.62,1.45,2.83,4.49,2.67,3.19,4.57,2.22,-0.58,5.84,1.97,5.01,5.34,4.42,4.36,5.18,5.01,4.97,,,,,,,,,,,,,,,,,,
Thailand,1414.41,1467.13,1515.01,1569.16,1629.22,1675.38,1738.57,1872.93,2087.87,2305.86,2524.40,2704.22,2884.69,3082.83,3287.79,3511.06,3665.82,3525.87,3222.77,3339.51,3461.14,3552.52,3742.03,3983.00,4207.27,4358.08,4549.58,4771.90,4830.22,4775.13,5112.45,5134.87,5485.63,5612.04,5646.85,5797.28,5967.89,6181.48,,3.73,3.26,3.57,3.83,2.83,3.77,7.73,11.48,10.44,9.48,7.12,6.67,6.87,6.65,6.79,4.41,-3.82,-8.60,3.62,3.64,2.64,5.33,6.44,5.63,3.58,4.39,4.89,1.22,-1.14,7.06,0.44,6.83,2.30,0.62,2.66,2.94,3.58,3.83,,,,,,,,,,,,,,,,,,
Vietnam,441.64,423.01,408.71,395.11,382.33,388.09,390.17,395.23,406.57,425.53,437.99,454.77,484.62,514.15,549.76,592.22,637.49,679.43,708.76,732.77,772.26,809.54,849.61,896.76,952.13,1010.98,1068.29,1130.59,1180.42,1229.83,1294.30,1360.21,1416.41,1477.73,1550.33,1637.63,1722.69,1822.83,,-4.22,-3.38,-3.33,-3.23,1.51,0.54,1.30,2.87,4.66,2.93,3.83,6.56,6.09,6.93,7.72,7.64,6.58,4.32,3.39,5.39,4.83,4.95,5.55,6.17,6.18,5.67,5.83,4.41,4.19,5.24,5.09,4.13,4.33,4.91,5.63,5.19,5.81,5.77,,,,,,,,,,,,,,,,,,
OtherSoutheastAsia,7447.12,7430.13,7841.55,8210.21,8609.15,8430.51,8351.87,8889.28,9444.68,9969.06,10537.51,10856.08,11251.56,12028.56,12857.89,13343.72,13948.91,14620.10,14000.36,14476.97,15332.44,14928.78,15256.88,15625.65,16658.94,17478.91,18611.71,19792.70,19735.15,19269.14,21612.12,22543.18,23028.68,23713.69,24164.04,24291.98,24443.71,24915.20,,-0.23,5.54,4.70,4.86,-2.07,-0.93,6.43,6.25,5.55,5.70,3.02,3.64,6.91,6.89,3.78,4.54,4.81,-4.24,3.40,5.91,-2.63,2.20,2.42,6.61,4.92,6.48,6.35,-0.29,-2.36,12.16,4.31,2.15,2.97,1.90,0.53,0.62,1.93,1.44,,,,,,,,,,,,,,,,,,
Brunei,62190.51,47892.20,48277.21,47077.82,45953.93,43894.61,41392.50,40933.27,40159.41,38600.92,37936.07,38168.54,39006.11,38072.25,38234.62,38908.24,39001.21,37471.91,36372.84,36613.30,36800.41,36974.01,37577.11,37858.69,37293.04,36732.05,37647.97,37025.89,35660.88,34416.26,34699.58,35384.44,35105.08,33785.89,32448.90,31741.48,30464.39,30383.94,,-22.99,0.80,-2.48,-2.39,-4.48,-5.70,-1.11,-1.89,-3.88,-1.72,0.61,2.19,-2.39,0.43,1.76,0.24,-3.92,-2.93,0.66,0.51,0.47,1.63,0.75,-1.49,-1.50,2.49,-1.65,-3.69,-3.49,0.82,1.97,-0.79,-3.76,-3.96,-2.18,-4.02,-0.26,0.03,,,,,,,,,,,,,,,,,,
Laos,71.25,81.09,408.23,412.94,424.10,435.79,444.37,425.86,405.71,450.41,467.27,473.82,486.29,500.76,526.61,548.02,573.96,600.39,610.59,640.55,663.69,688.95,719.33,752.72,787.75,830.68,887.91,938.81,994.19,1049.69,1119.29,1188.90,1263.06,1342.24,1421.37,1500.91,1581.71,1665.20,,13.82,403.40,1.15,2.70,2.76,1.97,-4.17,-4.73,11.02,3.74,1.40,2.63,2.98,5.16,4.07,4.73,4.60,1.70,4.91,3.61,3.81,4.41,4.64,4.65,5.45,6.89,5.73,5.90,5.58,6.63,6.22,6.24,6.27,5.90,5.60,5.38,5.28,5.41,,,,,,,,,,,,,,,,,,
Singapore,13309.16,14025.33,14370.94,15381.39,16405.42,16253.60,16468.36,17949.50,19425.28,20763.07,22178.59,22873.98,23712.96,25628.34,27575.71,28665.28,29969.11,31581.84,30091.04,31147.36,33098.58,31948.78,32425.45,33019.75,35307.57,37065.88,39427.01,42052.69,41860.81,40738.34,45995.23,47921.64,48884.23,50377.66,51328.45,51487.61,51743.74,52640.12,,5.38,2.46,7.03,6.66,-0.93,1.32,8.99,8.22,6.89,6.82,3.14,3.67,8.08,7.60,3.95,4.55,5.38,-4.72,3.51,6.26,-3.47,1.49,1.83,6.93,4.98,6.37,6.66,-0.46,-2.68,12.90,4.19,2.01,3.06,1.89,0.31,0.50,1.73,1.18,,,,,,,,,,,,,,,,,,
SouthAsia,410.75,425.94,432.00,451.39,460.96,472.79,485.57,493.84,522.95,538.30,555.69,555.31,574.97,587.65,610.22,640.46,671.00,683.33,707.63,748.41,764.71,783.17,799.30,842.76,891.78,955.29,1022.13,1098.17,1124.68,1193.37,1283.44,1345.85,1401.17,1466.79,1549.27,1646.40,1737.35,1827.46,,3.70,1.42,4.49,2.12,2.57,2.70,1.70,5.89,2.94,3.23,-0.07,3.54,2.21,3.84,4.96,4.77,1.84,3.56,5.76,2.18,2.41,2.06,5.44,5.82,7.12,7.00,7.44,2.41,6.11,7.55,4.86,4.11,4.68,5.62,6.27,5.52,5.19,5.75,,,,,,,,,,,,,,,,,,
Bangladesh,350.39,355.69,354.13,358.81,367.03,370.45,377.05,382.31,382.63,384.59,397.15,402.61,415.70,426.49,434.40,447.96,459.49,471.16,486.20,499.59,517.07,534.56,546.47,563.95,585.24,615.31,648.19,686.14,720.05,748.27,781.01,822.33,866.50,908.91,954.06,1006.38,1066.98,1132.81,,1.51,-0.44,1.32,2.29,0.93,1.78,1.39,0.08,0.51,3.27,1.38,3.25,2.59,1.85,3.12,2.57,2.54,3.19,2.75,3.50,3.38,2.23,3.20,3.77,5.14,5.34,5.85,4.94,3.92,4.38,5.29,5.37,4.89,4.97,5.48,6.02,6.17,6.00,,,,,,,,,,,,,,,,,,
India,395.28,410.47,416.07,437.33,444.58,458.33,470.65,479.67,515.59,535.73,554.63,550.27,569.50,585.37,612.72,646.95,683.07,697.94,728.00,778.67,794.87,819.38,836.66,887.94,943.21,1014.90,1092.25,1181.69,1209.98,1294.05,1407.11,1480.25,1540.42,1617.68,1715.71,1832.85,1939.68,2043.89,,3.84,1.37,5.11,1.66,3.09,2.69,1.92,7.49,3.91,3.53,-0.79,3.50,2.79,4.67,5.59,5.58,2.18,4.31,6.96,2.08,3.08,2.11,6.13,6.22,7.60,7.62,8.19,2.39,6.95,8.74,5.20,4.06,5.02,6.06,6.83,5.83,5.37,6.02,,,,,,,,,,,,,,,,,,
Pakistan,501.30,506.78,522.00,541.36,554.62,580.81,594.36,613.22,639.73,651.69,661.28,675.25,711.49,709.23,717.83,734.14,748.92,737.62,738.47,747.47,758.61,752.11,759.53,782.20,824.39,871.58,908.76,935.78,935.79,946.50,946.33,957.09,975.31,1002.65,1033.82,1066.90,1109.65,1156.14,,1.09,3.00,3.71,2.45,4.72,2.33,3.17,4.32,1.87,1.47,2.11,5.37,-0.32,1.21,2.27,2.01,-1.51,0.12,1.22,1.49,-0.86,0.99,2.99,5.39,5.72,4.27,2.97,0.00,1.14,-0.02,1.14,1.90,2.80,3.11,3.20,4.01,4.19,4.05,,,,,,,,,,,,,,,,,,
OtherSouthAsia,582.98,639.51,654.10,674.61,717.68,682.64,713.46,690.74,670.65,639.83,659.62,677.88,676.04,672.81,678.30,708.80,724.24,751.66,758.83,774.71,802.20,788.43,815.58,838.84,862.23,903.53,945.54,1005.42,1050.62,1099.62,1164.20,1226.87,1318.43,1343.88,1385.27,1419.57,1446.41,1478.54,,9.70,2.28,3.14,6.38,-4.88,4.51,-3.18,-2.91,-4.60,3.09,2.77,-0.27,-0.48,0.82,4.50,2.18,3.79,0.95,2.09,3.55,-1.72,3.44,2.85,2.79,4.79,4.65,6.33,4.50,4.66,5.87,5.38,7.46,1.93,3.08,2.48,1.89,2.22,3.25,,,,,,,,,,,,,,,,,,
Afghanistan,544.92,665.73,685.70,737.10,813.22,629.82,694.18,610.87,502.75,374.82,363.31,363.44,334.06,286.00,255.17,306.15,313.78,322.05,299.34,301.32,292.53,272.95,334.76,342.63,336.92,365.51,374.17,421.96,432.17,508.73,539.57,560.30,627.22,637.27,639.71,633.34,633.39,634.74,,22.17,3.00,7.50,10.33,-22.55,10.22,-12.00,-17.70,-25.45,-3.07,0.04,-8.09,-14.38,-10.78,19.98,2.49,2.64,-7.05,0.66,-2.92,-6.69,22.65,2.35,-1.67,8.49,2.37,12.77,2.42,17.72,6.06,3.84,11.94,1.60,0.38,-1.00,0.01,0.21,0.11,,,,,,,,,,,,,,,,,,
